transect_id,group_id,TransOrder,azimuth_deg,shoreline_count,shoreline_change_envelope_m,net_shoreline_movement_m,endpoint_rate_myr,endpoint_rate_unc_myr,linear_regression_rate_myr,linear_regression_r2,linear_regression_ci95_myr,weighted_linear_regression_rate_myr,weighted_regression_r2,weighted_regression_ci95_myr
552,0,552,114.66,18,53.4,-35.97,-0.88,0.03,-0.99,0.52,0.51,-0.99,0.52,0.51
553,0,553,114.05,18,43.68,-26.84,-0.65,0.03,-0.71,0.44,0.42,-0.71,0.44,0.42
554,0,554,112.63,18,57.39,-40.23,-0.98,0.03,-1.05,0.65,0.41,-1.05,0.65,0.41
555,0,555,111.99,18,57.59,-20.13,-0.49,0.03,-1.17,0.72,0.38,-1.17,0.72,0.38
556,0,556,111.6,18,64.08,-35.63,-0.87,0.03,-1.28,0.64,0.51,-1.28,0.64,0.51
557,0,557,111.8,18,98.5,-91.09,-2.22,0.03,-2.2,0.6,0.94,-2.2,0.6,0.94
558,0,558,112.52,18,74.48,-68.47,-1.67,0.03,-1.4,0.7,0.49,-1.4,0.7,0.49
559,0,559,112.99,18,51.93,-47.97,-1.17,0.03,-0.99,0.57,0.46,-0.99,0.57,0.46
560,0,560,112.95,18,60.58,-42.58,-1.04,0.03,-1.05,0.57,0.49,-1.05,0.57,0.49
561,0,561,112.93,18,102.46,-82.18,-2.0,0.03,-2.03,0.71,0.69,-2.03,0.71,0.69
562,0,562,112.69,18,77.7,-59.33,-1.45,0.03,-1.79,0.76,0.54,-1.79,0.76,0.54
563,0,563,114.51,18,60.52,-49.91,-1.22,0.03,-1.39,0.7,0.49,-1.39,0.7,0.49
564,0,564,116.48,18,61.86,-50.1,-1.22,0.03,-1.29,0.52,0.65,-1.29,0.52,0.65
565,0,565,119.34,18,68.22,-61.38,-1.5,0.03,-1.51,0.77,0.43,-1.51,0.77,0.43
566,0,566,121.45,18,75.89,-70.04,-1.71,0.03,-1.68,0.71,0.57,-1.68,0.71,0.57
567,0,567,122.88,18,80.2,-62.69,-1.53,0.03,-1.8,0.8,0.48,-1.8,0.8,0.48
568,0,568,122.67,18,67.37,-49.7,-1.21,0.03,-1.39,0.81,0.36,-1.39,0.81,0.36
569,0,569,119.87,18,57.96,-39.34,-0.96,0.03,-1.06,0.71,0.36,-1.06,0.71,0.36
570,0,570,117.99,18,75.81,-44.73,-1.09,0.03,-1.35,0.83,0.33,-1.35,0.83,0.33
571,0,571,116.56,18,75.8,-38.86,-0.95,0.03,-1.56,0.75,0.47,-1.56,0.75,0.47
572,0,572,115.63,18,60.21,-30.3,-0.74,0.03,-1.34,0.73,0.43,-1.34,0.73,0.43
573,0,573,113.24,18,59.97,-48.22,-1.18,0.03,-1.3,0.77,0.38,-1.3,0.77,0.38
574,0,574,109.82,18,65.86,-44.52,-1.09,0.03,-1.42,0.78,0.4,-1.42,0.78,0.4
575,0,575,108.26,18,82.96,-64.81,-1.58,0.03,-1.69,0.68,0.61,-1.69,0.68,0.61
576,0,576,107.18,18,70.01,-36.26,-0.88,0.03,-1.19,0.75,0.37,-1.19,0.75,0.37
601,0,601,72.42,18,57.49,-43.05,-1.05,0.03,-1.26,0.68,0.46,-1.26,0.68,0.46
